ClusteringId,CenterId,NumPoints,PredictionStrength
0,0,225763,1.0000
1,0,36556,1.0000
1,1,189207,0.9985
2,0,11638,0.9990
2,1,214125,0.7160
3,0,221049,0.7241
3,1,4714,0.9309
4,0,214125,0.7160
4,1,11638,0.9990
5,0,207888,0.7287
5,1,17875,0.7166
6,0,11327,0.9680
6,1,35003,1.0000
6,2,179433,0.6903
7,0,184684,0.9995
7,1,4668,1.0000
7,2,36411,1.0000
8,0,197254,0.5046
8,1,11266,0.8075
8,2,17243,0.4768
9,0,162013,0.6351
9,1,16534,0.7006
9,2,47216,0.9699
10,0,36528,0.9976
10,1,5527,0.9942
10,2,183708,0.8800
11,0,175354,0.6948
11,1,4465,0.9915
11,2,11193,0.7303
11,3,34751,0.9392
12,0,179851,0.3925
12,1,10998,0.6059
12,2,16817,0.4144
12,3,18097,0.5939
13,0,155836,0.6227
13,1,16186,0.6948
13,2,42689,0.7635
13,3,11052,0.9640
14,0,34934,0.9993
14,1,5507,0.9996
14,2,174097,0.9967
14,3,11225,0.9998
15,0,40224,0.7592
15,1,34715,0.9435
15,2,133701,0.8557
15,3,17123,0.8467
16,0,38150,0.6078
16,1,10783,0.9194
16,2,15705,0.4108
16,3,14287,0.5872
16,4,146838,0.3622
17,0,152385,0.4739
17,1,15999,0.5158
17,2,41976,0.5620
17,3,10922,0.7240
17,4,4481,0.9505
18,0,35951,0.9993
18,1,5312,1.0000
18,2,139118,0.9923
18,3,10808,0.9994
18,4,34574,0.9998
19,0,28384,0.5454
19,1,32882,0.9679
19,2,133753,0.5731
19,3,16008,0.4689
19,4,14736,0.4892
20,0,19578,0.5785
20,1,33711,0.9913
20,2,10597,0.9500
20,3,17007,0.5892
20,4,144870,0.6104
21,0,152577,0.4780
21,1,15945,0.5020
21,2,41973,0.5585
21,3,4825,0.9713
21,4,4464,0.9503
21,5,5979,0.8518
22,0,32711,0.9850
22,1,5230,0.9992
22,2,115358,0.9809
22,3,10395,0.7150
22,4,28949,0.7001
22,5,33120,0.9978
23,0,33751,0.8857
23,1,32779,0.9732
23,2,10423,0.9486
23,3,12973,0.3569
23,4,13641,0.3738
23,5,122196,0.5719
24,0,34368,0.9400
24,1,48703,0.5025
24,2,5731,0.9105
24,3,15391,0.6697
24,4,116700,0.8133
24,5,4870,0.9441
25,0,32524,0.9904
25,1,113646,0.5380
25,2,21826,0.6852
25,3,33737,0.9524
25,4,13646,0.6211
25,5,10384,0.4752
26,0,31613,0.9753
26,1,5140,0.9992
26,2,32780,0.9805
26,3,10177,0.7156
26,4,26824,0.6312
26,5,31944,0.5071
26,6,87285,0.8619
27,0,32871,0.9465
27,1,32350,0.7325
27,2,32279,0.9747
27,3,11781,0.4228
27,4,13208,0.3609
27,5,93236,0.9082
27,6,10038,0.9766
28,0,16674,0.4532
28,1,114981,0.4725
28,2,5567,0.8919
28,3,13130,0.5941
28,4,37153,0.5251
28,5,4727,0.9423
28,6,33531,0.4817
29,0,26214,0.5961
29,1,95889,0.4919
29,2,19013,0.6488
29,3,30152,0.8908
29,4,13260,0.6271
29,5,10130,0.4720
29,6,31105,0.9807
30,0,30614,0.9865
30,1,28050,0.6657
30,2,21498,0.6137
30,3,13888,0.8516
30,4,10135,0.9911
30,5,108017,0.9156
30,6,13561,0.9897
31,0,29216,0.8872
31,1,24845,0.3934
31,2,28626,0.8786
31,3,10165,0.3637
31,4,13001,0.2948
31,5,79785,0.7051
31,6,9820,0.9181
31,7,30305,0.7131
32,0,16509,0.4471
32,1,110347,0.4725
32,2,5546,0.9266
32,3,5049,0.5624
32,4,36845,0.5035
32,5,4708,0.4998
32,6,33350,0.4824
32,7,13409,0.5988
33,0,26128,0.5607
33,1,93046,0.5446
33,2,18724,0.6063
33,3,29434,0.9253
33,4,13094,0.5391
33,5,10001,0.4794
33,6,30983,0.9920
33,7,4353,0.6614
34,0,40289,0.8037
34,1,25800,0.7059
34,2,18876,0.7214
34,3,11106,0.8254
34,4,9823,0.9854
34,5,76283,0.8359
34,6,13422,0.9840
34,7,30164,0.7245
35,0,34601,0.7311
35,1,10480,0.9177
35,2,14310,0.9999
35,3,112289,0.4392
35,4,21097,0.6430
35,5,4330,0.5061
35,6,5194,0.9388
35,7,23462,0.5712
36,0,14942,0.5218
36,1,95763,0.6088
36,2,5429,0.9371
36,3,4999,0.9715
36,4,32027,0.6135
36,5,4654,0.5091
36,6,32504,0.4897
36,7,12997,0.5784
36,8,22448,0.5987
37,0,25489,0.4900
37,1,89977,0.5183
37,2,18252,0.8483
37,3,29464,0.8777
37,4,12975,0.4537
37,5,9971,0.4802
37,6,13745,0.9958
37,7,4351,0.6613
37,8,21539,0.7143
38,0,33695,0.7366
38,1,23663,0.4833
38,2,17469,0.7372
38,3,8680,0.7989
38,4,9566,0.9794
38,5,63207,0.8198
38,6,13004,0.9762
38,7,30031,0.7228
38,8,26448,0.9172
39,0,33262,0.7357
39,1,15161,0.3350
39,2,14136,0.9997
39,3,100478,0.4477
39,4,19839,0.6945
39,5,4321,0.9871
39,6,5194,0.9358
39,7,23362,0.5667
39,8,10010,0.9077
40,0,30958,0.7417
40,1,20961,0.9646
40,2,4366,0.9621
40,3,11031,0.8207
40,4,21845,0.6818
40,5,10043,0.3969
40,6,99385,0.8569
40,7,14147,0.9938
40,8,13027,0.5721
41,0,5131,0.9580
41,1,86779,0.5878
41,2,17971,0.8075
41,3,28842,0.9115
41,4,12958,0.3170
41,5,9840,0.4828
41,6,13721,0.9993
41,7,4275,0.6859
41,8,21417,0.6843
41,9,24829,0.4052
42,0,30826,0.7004
42,1,22617,0.9676
42,2,16919,0.9794
42,3,9641,0.9148
42,4,9399,0.9966
42,5,60382,0.8724
42,6,12765,0.9871
42,7,29605,0.7300
42,8,8088,0.3979
42,9,25521,0.9530
43,0,32263,0.6603
43,1,13302,0.2564
43,2,3906,0.9918
43,3,31478,0.6244
43,4,18513,0.7323
43,5,4368,0.9626
43,6,22049,0.5096
43,7,11712,0.9969
43,8,9847,0.8763
43,9,78325,0.4304
44,0,27999,0.7841
44,1,18210,0.6011
44,2,4328,0.9609
44,3,8724,0.7777
44,4,20971,0.9472
44,5,9785,0.3816
44,6,84648,0.5138
44,7,13797,0.9553
44,8,12753,0.4544
44,9,24548,0.4998
45,0,11063,0.2917
45,1,30482,0.9722
45,2,27033,0.8888
45,3,4616,0.5603
45,4,4977,0.9864
45,5,27460,0.7413
45,6,53773,0.8109
45,7,26557,0.8829
45,8,16585,0.9743
45,9,23217,0.2538
46,0,15629,0.8526
46,1,12707,0.9752
46,2,24809,0.7135
46,3,5299,0.6397
46,4,3252,0.7500
46,5,25805,0.7619
46,6,6,1.0000
46,7,5020,0.8270
46,8,20909,0.2095
46,9,4931,0.9399
46,10,49706,0.5525
46,11,10728,0.2433
46,12,19072,0.5010
46,13,26434,0.7018
46,14,1456,0.9877
47,0,11456,0.9431
47,1,5601,0.9671
47,2,2184,0.8070
47,3,9608,0.4808
47,4,2243,0.7262
47,5,4672,0.9400
47,6,3126,0.9974
47,7,27827,0.8238
47,8,28509,0.9623
47,9,70403,0.6763
47,10,23666,0.8157
47,11,467,1.0000
47,12,258,0.5317
47,13,26853,0.4823
47,14,8890,0.3107
48,0,18045,0.6084
48,1,13228,0.5698
48,2,98301,0.2855
48,3,12677,0.3996
48,4,19883,0.8284
48,5,2903,0.3217
48,6,4836,0.8554
48,7,9445,0.4447
48,8,168,0.5406
48,9,20052,0.5667
48,10,11989,0.8490
48,11,1498,0.8500
48,12,3329,0.9079
48,13,4269,0.9703
48,14,5140,0.8575
49,0,28552,0.4899
49,1,3318,0.9106
49,2,11833,0.2343
49,3,4250,0.9748
49,4,16938,0.7462
49,5,5088,0.8820
49,6,26554,0.7268
49,7,4708,0.9275
49,8,11373,0.9268
49,9,5535,0.9871
49,10,67431,0.3931
49,11,1330,0.9895
49,12,9368,0.2146
49,13,3105,0.3333
49,14,26380,0.7274
50,0,4797,0.9679
50,1,3850,0.7559
50,2,28893,0.7432
50,3,70958,0.3931
50,4,17239,0.6958
50,5,6583,0.9589
50,6,7686,0.6017
50,7,8500,0.4360
50,8,28328,0.3977
50,9,20449,0.8070
50,10,1,1.0000
50,11,4261,0.9758
50,12,11448,0.7431
50,13,1765,0.8526
50,14,11005,0.6884
51,0,12093,0.4982
51,1,16851,0.2558
51,2,4441,0.9955
51,3,8330,0.9847
51,4,39749,0.9211
51,5,12342,0.7439
51,6,20103,0.8317
51,7,4197,0.9919
51,8,20499,0.9267
51,9,21532,0.8881
51,10,13866,0.9637
51,11,13092,0.5855
51,12,9395,0.8889
51,13,178,0.4824
51,14,3253,0.8375
51,15,4694,0.4963
51,16,14221,0.7492
51,17,5611,0.6138
51,18,1,1.0000
51,19,1315,0.4943
52,0,9496,0.8133
52,1,22103,0.8179
52,2,22570,0.9066
52,3,13874,0.9049
52,4,4547,0.5077
52,5,23315,0.8727
52,6,19846,0.9415
52,7,4194,0.9962
52,8,273,0.6133
52,9,3734,0.9957
52,10,16589,0.9316
52,11,2203,0.8938
52,12,9839,0.9520
52,13,913,0.9761
52,14,4400,0.4427
52,15,4772,0.9542
52,16,1319,0.9042
52,17,8775,0.6761
52,18,12181,0.9799
52,19,40820,0.5037
53,0,2833,0.6710
53,1,19126,0.5656
53,2,4188,0.6835
53,3,10620,0.9957
53,4,3235,0.9308
53,5,22448,0.9223
53,6,14878,0.8761
53,7,7681,0.9007
53,8,259,0.4807
53,9,3827,0.9818
53,10,3239,0.1473
53,11,40558,0.8530
53,12,9988,0.9618
53,13,23184,0.4930
53,14,19558,0.9236
53,15,22121,0.8220
53,16,4485,0.4063
53,17,7631,0.4176
53,18,4635,0.4988
53,19,1269,0.9968
54,0,20589,0.7988
54,1,4003,0.9640
54,2,8060,0.7859
54,3,7017,0.9054
54,4,6718,0.9246
54,5,27042,0.6814
54,6,3824,0.9244
54,7,4209,0.6826
54,8,15170,0.8684
54,9,22423,0.5310
54,10,10652,0.7402
54,11,5272,0.4845
54,12,17459,0.8443
54,13,1,1.0000
54,14,8768,0.4713
54,15,19002,0.5509
54,16,952,0.5218
54,17,14038,0.8488
54,18,8308,0.5715
54,19,22256,0.4666
55,0,1488,0.7638
55,1,19366,0.7484
55,2,9046,0.5556
55,3,13135,0.7321
55,4,2553,0.9637
55,5,24499,0.7046
55,6,46740,0.6838
55,7,116,0.3733
55,8,596,0.8440
55,9,22695,0.8375
55,10,23643,0.4637
55,11,4648,0.6684
55,12,2212,0.4244
55,13,12434,0.9392
55,14,4783,0.5001
55,15,3272,0.9346
55,16,5279,0.3467
55,17,24870,0.5449
55,18,4153,0.6921
55,19,235,0.9915
56,0,37609,0.9343
56,1,9613,0.6150
56,2,3249,0.9655
56,3,9001,0.9469
56,4,1320,0.9985
56,5,4417,0.4180
56,6,3674,0.6379
56,7,5947,0.3913
56,8,5211,0.4595
56,9,16648,0.9242
56,10,911,0.3340
56,11,2418,0.6401
56,12,12391,0.9774
56,13,8745,0.5933
56,14,17015,0.7595
56,15,3477,0.9643
56,16,4163,0.9919
56,17,178,0.4272
56,18,13073,0.8813
56,19,16494,0.9112
56,20,20616,0.8814
56,21,4738,0.8013
56,22,4571,0.4991
56,23,13060,0.8919
56,24,7224,0.9072
57,0,7217,0.8075
57,1,15580,0.6474
57,2,842,0.9446
57,3,10058,0.4552
57,4,23425,0.9600
57,5,5231,0.7451
57,6,1609,0.7556
57,7,3945,0.9605
57,8,12698,0.9947
57,9,893,0.5364
57,10,10720,0.9813
57,11,4675,0.2705
57,12,9461,0.8357
57,13,21138,0.8195
57,14,5447,0.8549
57,15,11989,0.4543
57,16,256,0.4677
57,17,3599,0.5217
57,18,7604,0.4738
57,19,19495,0.8104
57,20,18942,0.8590
57,21,8898,0.9522
57,22,3693,0.9935
57,23,15682,0.7776
57,24,2666,0.9821
58,0,18341,0.5010
58,1,6915,0.6462
58,2,3575,0.9366
58,3,2640,0.3048
58,4,38601,0.3128
58,5,2631,0.9467
58,6,10048,0.7638
58,7,20972,0.4197
58,8,13343,0.7359
58,9,149,0.5094
58,10,866,0.5136
58,11,9979,0.3106
58,12,2797,0.2455
58,13,21430,0.5857
58,14,4590,0.9411
58,15,13453,0.5634
58,16,1521,1.0000
58,17,10915,0.4865
58,18,2147,0.4142
58,19,1773,0.3977
58,20,3080,0.7037
58,21,12201,0.6341
58,22,9324,0.8150
58,23,4386,0.5621
58,24,10086,0.6899
59,0,18554,0.6670
59,1,12214,0.9011
59,2,10867,0.5063
59,3,9877,0.5196
59,4,18245,0.6490
59,5,4411,0.5350
59,6,6558,0.2929
59,7,4441,0.3533
59,8,15422,0.8012
59,9,19017,0.8708
59,10,13330,0.7794
59,11,11501,0.8560
59,12,1606,0.9443
59,13,24508,0.6925
59,14,4214,0.6915
59,15,613,0.7930
59,16,5353,0.5899
59,17,3186,0.8832
59,18,9751,0.3256
59,19,8268,0.8415
59,20,3101,0.6715
59,21,5121,0.2580
59,22,1317,0.9151
59,23,3553,0.3059
59,24,10735,0.4358
60,0,38583,0.3557
60,1,3602,0.6564
60,2,5313,0.7883
60,3,1,1.0000
60,4,4689,0.3102
60,5,4188,0.9933
60,6,5258,0.4481
60,7,4483,0.7524
60,8,9033,0.7847
60,9,4506,0.5505
60,10,8977,0.5911
60,11,20116,0.7961
60,12,2156,0.5697
60,13,3252,0.9080
60,14,20424,0.6700
60,15,7272,0.2154
60,16,12061,0.8817
60,17,3971,0.6954
60,18,14393,0.8831
60,19,5094,0.8705
60,20,12450,0.7177
60,21,2907,0.3864
60,22,11684,0.5580
60,23,20029,0.5299
60,24,1321,0.9018
